"id","region","item_code","item_name","item_value","unit","etl_time","dm_update_time","dm_load_time","yr"
"610f237c-7f36-8b3f-fc75-fa163e9bb5e8",HKSAR,bi_p_216,Service Reservoir Supply Volume,760.38579,MCM,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2022
"61c5ef4e-7f36-8b3f-fc75-fa163e9bb5e8",K,bi_p_217,Service Reservoir Supply Volume,78.95040,MCM,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2007
"61c837d6-7f36-8b3f-fc75-fa163e9bb5e8",NTW,bi_p_217,Service Reservoir Supply Volume,127.56900,MCM,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2024
"61c89b4a-7f36-8b3f-fc75-fa163e9bb5e8",K,bi_p_217,Service Reservoir Supply Volume,200.58526,MCM,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2020
"61ca7dd4-7f36-8b3f-fc75-fa163e9bb5e8",HKI,bi_p_217,Service Reservoir Supply Volume,112.80881,MCM,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2020
"61cc6b76-7f36-8b3f-fc75-fa163e9bb5e8",NTE,bi_p_217,Service Reservoir Supply Volume,285.69887,MCM,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2016
"61ce4f9a-7f36-8b3f-fc75-fa163e9bb5e8",NTE,bi_p_217,Service Reservoir Supply Volume,293.85274,MCM,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2018
"61d14678-7f36-8b3f-fc75-fa163e9bb5e8",K,bi_p_217,Service Reservoir Supply Volume,133.67447,MCM,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2013
"61d20a54-7f36-8b3f-fc75-fa163e9bb5e8",NTW,bi_p_217,Service Reservoir Supply Volume,137.68485,MCM,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2023
"61d26ac6-7f36-8b3f-fc75-fa163e9bb5e8",HKI,bi_p_217,Service Reservoir Supply Volume,122.63289,MCM,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2009
"61d399c8-7f36-8b3f-fc75-fa163e9bb5e8",HKI,bi_p_217,Service Reservoir Supply Volume,109.01939,MCM,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2011
"61d516fe-7f36-8b3f-fc75-fa163e9bb5e8",NTW,bi_p_217,Service Reservoir Supply Volume,128.23268,MCM,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2025
"61d69eac-7f36-8b3f-fc75-fa163e9bb5e8",HKI,bi_p_217,Service Reservoir Supply Volume,105.82354,MCM,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2023
"61d70004-7f36-8b3f-fc75-fa163e9bb5e8",NTE,bi_p_217,Service Reservoir Supply Volume,275.60790,MCM,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2008
"61d75ffe-7f36-8b3f-fc75-fa163e9bb5e8",NTE,bi_p_217,Service Reservoir Supply Volume,294.06093,MCM,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2011
"61d881b8-7f36-8b3f-fc75-fa163e9bb5e8",NTW,bi_p_217,Service Reservoir Supply Volume,105.62514,MCM,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2015
