"id","tag_name","tag_value","quality","tag_time","ms_sql_time","tag_value_avg","tag_value_min","tag_value_max"
17839316,Treated_Water_PS_11kV_CB_11_M_W_h,"617.60034",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,617.600342,617.600342,617.600342
17839318,Treated_Water_PS_11kV_CB_17_Current_A,"1.961735",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,1.961735,1.961735,1.961735
17839321,Treated_Water_PS_11kV_CB_17_Voltage_V,"11.080286",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,11.080286,11.080286,11.080286
17839322,Treated_Water_Trending_Chlorine,"1.22",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,1.219889,1.15,1.29
17839325,Treated_Water_Trending_Turbidity,"0.47",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,0.449778,0.38,0.51
17839329,TreatedWater_DeliveryFlow1_TotalFlow,"0.191293",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,0.191293,0.191293,0.191293
17839331,TreatedWater_DeliveryFlow2_Flow_Low,-0.158665,0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,-0.158665,-0.158665,-0.158665
17839332,TreatedWater_DeliveryFlow2_TotalFlow,"32767.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,32767,32767,32767
17839335,TreatedWater_Pump_001_Current,"50.98374",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,50.983742,50.983742,50.983742
17839339,TreatedWater_Pump_001_Voltage,"11.097765",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,11.097765,11.097765,11.097765
17839340,TreatedWater_Pump_002_Current,"0.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,0,0,0
17839344,TreatedWater_Pump_002_Voltage,"11.085466",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,11.085466,11.085466,11.085466
17839346,TreatedWater_Pump_003_kW,"0.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,0,0,0
17839347,TreatedWater_Pump_003_MWh,"5022.83",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,5022.830078,5022.830078,5022.830078
17839351,TreatedWater_Pump_004_kW,"941.8321",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,941.832092,941.832092,941.832092
17839352,TreatedWater_Pump_004_MWh,"2033.2544",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,2033.254395,2033.254395,2033.254395
17839354,TreatedWater_Pump_004_Voltage,"11.0929",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,11.0929,11.0929,11.0929
17839356,TreatedWaterPump1_Delivery_Valve_Position,"0.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,0,0,0
17839359,TreatedWaterPump2_Delivery_Valve_Position,"100.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,100,100,100
17839372,Treatment_Chemical_11kV_CB_6_k_W,"10.338482",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,10.338482,10.338482,10.338482
17839373,Treatment_Chemical_11kV_CB_6_M_W_h,"301.9095",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,301.909485,301.909485,301.909485
17839374,Treatment_Chemical_11kV_CB_6_Voltage_V,"11.098821",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,11.098821,11.098821,11.098821
17839380,Trend_Sedimentation_Monitoring_Sed_11_12_Run,"1.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,1,1,1
17839382,Trend_Sedimentation_Monitoring_VLV_01B_OP,"0.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,0.133333,0,1
17839383,Trend_Sedimentation_Monitoring_VLV_02A_OP,"0.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,0.144444,0,1
17839386,Trend_Sedimentation_Monitoring_VLV_03B_OP,"0.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,0,0,0
17839391,Trend_Sedimentation_Monitoring_VLV_06A_OP,"0.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,0,0,0
17839397,Trend_Sedimentation_Monitoring_VLV_09A_OP,"0.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,0,0,0
17839401,Trend_Sedimentation_Monitoring_VLV_11A_OP,"0.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,0,0,0
17839330,TreatedWater_DeliveryFlow2_Flow,"171.06982",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,171.117855,168.298309,174.468292
17839338,TreatedWater_Pump_001_Running_Hours,"32767.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,32767,32767,32767
17839349,TreatedWater_Pump_003_Voltage,"11.089173",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,11.089173,11.089173,11.089173
17839350,TreatedWater_Pump_004_Current,"50.17604",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,50.176041,50.176041,50.176041
17839365,TreatedWaterPump4_Delivery_Valve_Position,"0.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,0,0,0
17839369,Treatment_Chemical_11kV_CB_22_M_W_h,"7243.5557",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,7243.555664,7243.555664,7243.555664
17839371,Treatment_Chemical_11kV_CB_6_Current_A,"0.989476",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,0.989476,0.989476,0.989476
17839375,Trend_Sedimentation_Monitoring_Sed_01_02_Run,"1.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,1,1,1
17839379,Trend_Sedimentation_Monitoring_Sed_09_10_Run,"1.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,1,1,1
17839381,Trend_Sedimentation_Monitoring_VLV_01A_OP,"0.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,0,0,0
17839385,Trend_Sedimentation_Monitoring_VLV_03A_OP,"0.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,0,0,0
17839390,Trend_Sedimentation_Monitoring_VLV_05B_OP,"0.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,0,0,0
17839392,Trend_Sedimentation_Monitoring_VLV_06B_OP,"0.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,0,0,0
17839395,Trend_Sedimentation_Monitoring_VLV_08A_OP,"0.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,0,0,0
17839400,Trend_Sedimentation_Monitoring_VLV_10B_OP,"0.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,0,0,0
17839404,Trend_Sedimentation_Monitoring_VLV_12B_OP,"0.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,0,0,0
17839405,Trending_8Tags_Chlorine,"127.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,122.133333,115,129
17839413,Turbidity_01A_NTU,"0.08",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,0.08,0.08,0.08
17839414,Turbidity_01B_NTU,"0.09",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,0.09,0.09,0.09
17839415,Turbidity_02A_NTU,"0.08",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,0.08,0.08,0.08
17839424,Turbidity_06B_NTU,"0.08",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,0.08,0.08,0.08
17839425,Turbidity_07A_NTU,"0.07",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,0.07,0.07,0.07
17839427,Turbidity_08A_NTU,"0.07",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,0.07,0.07,0.07
17839433,Turbidity_11A_NTU,"0.07",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,0.07,0.07,0.07
17839435,Turbidity_12A_NTU,"0.07",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,0.07,0.07,0.07
17839438,VPSA_10Ton_kW,"49.02927",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,75.78961,18.03607,168.504074
17839439,VPSA_10Ton_Voltage,"386.7141",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,387.027678,385.017792,388.268829
17839445,WashWater_EquTank1_Recycle_Pump2_Position,"1.2",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,1.618889,0.5,2.9
17839448,Washwater_Pump_001_Current,"0.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,0,0,0
17839450,Washwater_Pump_001_Voltage,"0.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,0,0,0
17839451,Washwater_Pump_002_Current,"0.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,0,0,0
17839453,Washwater_Pump_002_Voltage,"0.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,0,0,0
17839459,Washwater_Pump_004_Voltage,"0.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,0,0,0
17839467,WashWaterPump400_3_Percent,-25.0,0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,-25,-25,-25
17839471,WashwaterRecycleFlow_MLD,"5.62",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,5.460111,5.1,5.73
17839474,Waste_Storage_Tank_pH_pH,"2.42",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,2.429333,2.35,2.51
17839482,Water_Sampling_Valve_02B_Turbidity_SV,"0.08",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,0.08,0.08,0.08
17839484,Water_Sampling_Valve_03A_Turbidity_SV,"0.07",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,0.07,0.07,0.07
17839486,Water_Sampling_Valve_03B_Turbidity_SV,"0.08",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,0.08,0.08,0.08
17839487,Water_Sampling_Valve_04A_Turbidity_High_SP,"1.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,1,1,1
17839489,Water_Sampling_Valve_04B_Turbidity_High_SP,"1.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,1,1,1
17839494,Water_Sampling_Valve_05B_Turbidity_SV,"0.08",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,0.08,0.08,0.08
17839499,Water_Sampling_Valve_07A_Turbidity_High_SP,"1.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,1,1,1
17839500,Water_Sampling_Valve_07A_Turbidity_SV,"0.07",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,0.07,0.07,0.07
