"id","region","item_code","item_name","item_value","unit","etl_time","yr","dm_update_time","dm_load_time"
"731c51f4-fe5b-8c3e-7767-fa163e9bc3ab",HK,bi_p_251,Raw Water Actual Supply Volume,55268.37480,Ml,2026-03-10 11:02:07.680,2016,2026-03-10 11:02:07.680,2026-03-10 11:02:07.680
"731cbdba-fe5b-8c3e-7767-fa163e9bc3ab",HK,bi_p_251,Raw Water Actual Supply Volume,26659.98360,Ml,2026-03-10 11:02:07.680,2025,2026-03-10 11:02:07.680,2026-03-10 11:02:07.680
"731d2994-fe5b-8c3e-7767-fa163e9bc3ab",HK,bi_p_251,Raw Water Actual Supply Volume,39634.83190,Ml,2026-03-10 11:02:07.680,2024,2026-03-10 11:02:07.680,2026-03-10 11:02:07.680
"731d9622-fe5b-8c3e-7767-fa163e9bc3ab",HK,bi_p_251,Raw Water Actual Supply Volume,38177.61650,Ml,2026-03-10 11:02:07.680,2009,2026-03-10 11:02:07.680,2026-03-10 11:02:07.680
"731dfd88-fe5b-8c3e-7767-fa163e9bc3ab",HK,bi_p_251,Raw Water Actual Supply Volume,43972.30940,Ml,2026-03-10 11:02:07.680,2006,2026-03-10 11:02:07.680,2026-03-10 11:02:07.680
"731e669c-fe5b-8c3e-7767-fa163e9bc3ab",HK,bi_p_251,Raw Water Actual Supply Volume,42314.23450,Ml,2026-03-10 11:02:07.680,2010,2026-03-10 11:02:07.680,2026-03-10 11:02:07.680
"731ed096-fe5b-8c3e-7767-fa163e9bc3ab",HK,bi_p_251,Raw Water Actual Supply Volume,37120.39580,Ml,2026-03-10 11:02:07.680,2017,2026-03-10 11:02:07.680,2026-03-10 11:02:07.680
"731f39be-fe5b-8c3e-7767-fa163e9bc3ab",HK,bi_p_251,Raw Water Actual Supply Volume,37969.20070,Ml,2026-03-10 11:02:07.680,2008,2026-03-10 11:02:07.680,2026-03-10 11:02:07.680
"731fa58e-fe5b-8c3e-7767-fa163e9bc3ab",HK,bi_p_251,Raw Water Actual Supply Volume,46151.86090,Ml,2026-03-10 11:02:07.680,2019,2026-03-10 11:02:07.680,2026-03-10 11:02:07.680
"73200cd6-fe5b-8c3e-7767-fa163e9bc3ab",HK,bi_p_251,Raw Water Actual Supply Volume,40964.75690,Ml,2026-03-10 11:02:07.680,2012,2026-03-10 11:02:07.680,2026-03-10 11:02:07.680
"73266bd0-fe5b-8c3e-7767-fa163e9bc3ab",NTE,bi_p_251,Raw Water Actual Supply Volume,931245.10400,Ml,2026-03-10 11:02:07.680,2016,2026-03-10 11:02:07.680,2026-03-10 11:02:07.680
"7326ac6c-fe5b-8c3e-7767-fa163e9bc3ab",NTE,bi_p_251,Raw Water Actual Supply Volume,965414.43500,Ml,2026-03-10 11:02:07.680,2007,2026-03-10 11:02:07.680,2026-03-10 11:02:07.680
"7326ec90-fe5b-8c3e-7767-fa163e9bc3ab",NTE,bi_p_251,Raw Water Actual Supply Volume,1003718.61200,Ml,2026-03-10 11:02:07.680,2025,2026-03-10 11:02:07.680,2026-03-10 11:02:07.680
"7327331c-fe5b-8c3e-7767-fa163e9bc3ab",NTE,bi_p_251,Raw Water Actual Supply Volume,957169.87200,Ml,2026-03-10 11:02:07.680,2019,2026-03-10 11:02:07.680,2026-03-10 11:02:07.680
"732773fe-fe5b-8c3e-7767-fa163e9bc3ab",NTE,bi_p_251,Raw Water Actual Supply Volume,961416.16970,Ml,2026-03-10 11:02:07.680,2015,2026-03-10 11:02:07.680,2026-03-10 11:02:07.680
"7327b30a-fe5b-8c3e-7767-fa163e9bc3ab",NTE,bi_p_251,Raw Water Actual Supply Volume,916504.18200,Ml,2026-03-10 11:02:07.680,2008,2026-03-10 11:02:07.680,2026-03-10 11:02:07.680
"7327f860-fe5b-8c3e-7767-fa163e9bc3ab",NTE,bi_p_251,Raw Water Actual Supply Volume,1048676.28600,Ml,2026-03-10 11:02:07.680,2023,2026-03-10 11:02:07.680,2026-03-10 11:02:07.680
c7e2f1b8-fe72-8c3e-7767-fa163e9bc3ab,NTE,bi_p_252,Impounding Reservoir Capacity mcm,531.30400,mcm,2026-03-10 13:49:08.786,2015,2026-03-10 13:49:08.786,2026-03-10 13:49:08.786
cb118476-fe72-8c3e-7767-fa163e9bc3ab,NTE,bi_p_252,Impounding Reservoir Capacity mcm,531.30400,mcm,2026-03-10 13:49:14.155,2016,2026-03-10 13:49:14.155,2026-03-10 13:49:14.155
cdaf5f78-fe72-8c3e-7767-fa163e9bc3ab,NTE,bi_p_252,Impounding Reservoir Capacity mcm,531.30400,mcm,2026-03-10 13:49:18.615,2017,2026-03-10 13:49:18.615,2026-03-10 13:49:18.615
d0dcdad6-fe72-8c3e-7767-fa163e9bc3ab,NTE,bi_p_252,Impounding Reservoir Capacity mcm,531.30400,mcm,2026-03-10 13:49:23.963,2018,2026-03-10 13:49:23.963,2026-03-10 13:49:23.963
d40c7ff4-fe72-8c3e-7767-fa163e9bc3ab,NTE,bi_p_252,Impounding Reservoir Capacity mcm,531.30400,mcm,2026-03-10 13:49:29.283,2019,2026-03-10 13:49:29.283,2026-03-10 13:49:29.283
d7f40902-fe72-8c3e-7767-fa163e9bc3ab,NTE,bi_p_252,Impounding Reservoir Capacity mcm,531.30400,mcm,2026-03-10 13:49:35.856,2020,2026-03-10 13:49:35.856,2026-03-10 13:49:35.856
daba7040-fe72-8c3e-7767-fa163e9bc3ab,NTE,bi_p_252,Impounding Reservoir Capacity mcm,531.30400,mcm,2026-03-10 13:49:40.457,2021,2026-03-10 13:49:40.457,2026-03-10 13:49:40.457
dda5edc0-fe72-8c3e-7767-fa163e9bc3ab,NTE,bi_p_252,Impounding Reservoir Capacity mcm,531.30400,mcm,2026-03-10 13:49:45.366,2022,2026-03-10 13:49:45.366,2026-03-10 13:49:45.366
e00dd3ca-fe72-8c3e-7767-fa163e9bc3ab,NTE,bi_p_252,Impounding Reservoir Capacity mcm,531.30400,mcm,2026-03-10 13:49:49.435,2023,2026-03-10 13:49:49.435,2026-03-10 13:49:49.435
